Model,Retrieval,model_calls,rejected_count,unresolved_count,conflicts,input_tokens,output_tokens,profile_latency_sec
GPT-5 mini,BM25,5.0,19.77777777777778,47.111111111111114,2.888888888888889,41182.88888888889,21513.444444444445,244.09561944889072
GPT-5 mini,LLM-expanded BM25,6.555555555555555,18.444444444444443,41.44444444444444,4.666666666666667,42831.88888888889,24910.0,282.81138504644576
GPT-5 mini,Full corpus,15.11111111111111,28.444444444444443,40.77777777777778,5.0,92003.44444444444,46096.88888888889,559.4418114351089
GPT-5.6 Terra,BM25,4.444444444444445,5.0,38.666666666666664,4.666666666666667,36563.444444444445,4379.888888888889,36.55417749999874
GPT-5.6 Terra,LLM-expanded BM25,5.666666666666667,13.0,43.333333333333336,4.666666666666667,35402.88888888889,4624.111111111111,39.544998268556405
GPT-5.6 Terra,Full corpus,13.777777777777779,8.333333333333334,45.111111111111114,4.777777777777778,85628.11111111111,8505.222222222223,79.92644970355387
Gemini 3.6 Flash,BM25,4.333333333333333,4.222222222222222,39.22222222222222,4.888888888888889,39873.88888888889,21194.666666666668,90.01458427333839
Gemini 3.6 Flash,LLM-expanded BM25,5.333333333333333,8.222222222222221,41.44444444444444,4.777777777777778,36246.555555555555,23211.777777777777,100.09191206033009
Gemini 3.6 Flash,Full corpus,14.555555555555555,11.444444444444445,44.666666666666664,5.0,83087.88888888889,57713.333333333336,260.7945489490004
Gemini 3.1 Pro,BM25,4.888888888888889,6.777777777777778,39.55555555555556,4.666666666666667,44866.0,20786.555555555555,149.28251236600124
Gemini 3.1 Pro,LLM-expanded BM25,6.0,15.444444444444445,42.0,4.666666666666667,42462.444444444445,21021.444444444445,150.86296454166666
Gemini 3.1 Pro,Full corpus,14.777777777777779,18.22222222222222,42.888888888888886,4.777777777777778,84072.66666666667,46233.22222222222,364.07116773133345
