model,Model,mode,Retrieval,field_accuracy,precision,recall,abstention_accuracy,tokens,latency_sec,profile_latency_sec,run_to_run_sd,input_tokens,output_tokens,model_calls,rejected_count,unresolved_count,conflicts,runs
gpt-5-mini,GPT-5 mini,bm25,BM25,0.8228998098191058,0.9500604908397747,0.8009359903381642,0.9332437275985662,62696.333333333336,243.9865627175572,244.09561944889072,0.0405491059256844,41182.88888888889,21513.444444444445,5.0,19.77777777777778,47.111111111111114,2.888888888888889,9
gpt-5-mini,GPT-5 mini,expanded,LLM-expanded BM25,0.8426209058046699,0.9655206762016123,0.8310461956521739,0.9367159498207884,67741.88888888889,282.6928985466576,282.81138504644576,0.04440288768304873,42831.88888888889,24910.0,6.555555555555555,18.444444444444443,41.44444444444444,4.666666666666667,9
gpt-5-mini,GPT-5 mini,full-corpus,Full corpus,0.8576489295928015,0.9612643915551722,0.8462786835748791,0.9500448028673836,138100.33333333334,559.2399666905492,559.4418114351089,0.03266510575744835,92003.44444444444,46096.88888888889,15.11111111111111,28.444444444444443,40.77777777777778,5.0,9
gpt-5.6-terra,GPT-5.6 Terra,bm25,BM25,0.8816855882814341,0.9859649384039627,0.8698294082125604,0.9788306451612903,40943.333333333336,36.451213407330215,36.55417749999874,0.0022675736961452106,36563.444444444445,4379.888888888889,4.444444444444445,5.0,38.666666666666664,4.666666666666667,9
gpt-5.6-terra,GPT-5.6 Terra,expanded,LLM-expanded BM25,0.8566443348828,0.9777639116432094,0.8398097826086957,0.9788306451612903,40027.0,39.444199009440325,39.544998268556405,0.02087062148149906,35402.88888888889,4624.111111111111,5.666666666666667,13.0,43.333333333333336,4.666666666666667,9
gpt-5.6-terra,GPT-5.6 Terra,full-corpus,Full corpus,0.8596230945208272,0.9824870118987766,0.8448369565217391,0.9680779569892474,94133.33333333333,79.73854824031878,79.92644970355387,0.0,85628.11111111111,8505.222222222223,13.777777777777779,8.333333333333334,45.111111111111114,4.777777777777778,9
gemini-3.6-flash,Gemini 3.6 Flash,bm25,BM25,0.8856930612916026,0.9834170649068119,0.8776570048309179,0.9680779569892474,61068.555555555555,89.91105561110696,90.01458427333839,0.00308819277501709,39873.88888888889,21194.666666666668,4.333333333333333,4.222222222222222,39.22222222222222,4.888888888888889,9
gemini-3.6-flash,Gemini 3.6 Flash,expanded,LLM-expanded BM25,0.8730553017852842,0.979725573226257,0.8624094202898551,0.9680779569892474,59458.333333333336,99.98743930999142,100.09191206033009,0.01969590019543297,36246.555555555555,23211.777777777777,5.333333333333333,8.222222222222221,41.44444444444444,4.777777777777778,9
gemini-3.6-flash,Gemini 3.6 Flash,full-corpus,Full corpus,0.8668578542528121,0.9782523776776652,0.8526494565217391,0.9680779569892474,140801.22222222222,260.5953603845693,260.7945489490004,0.011264199357314653,83087.88888888889,57713.333333333336,14.555555555555555,11.444444444444445,44.666666666666664,5.0,9
gemini-3.1-pro-preview,Gemini 3.1 Pro,bm25,BM25,0.8820849094354721,0.9832832248550406,0.8731204710144927,0.9680779569892474,65652.55555555556,149.1711976385648,149.28251236600124,0.012875406257487119,44866.0,20786.555555555555,4.888888888888889,6.777777777777778,39.55555555555556,4.666666666666667,9
gemini-3.1-pro-preview,Gemini 3.1 Pro,expanded,LLM-expanded BM25,0.864007238115372,0.9762952312669737,0.8529589371980677,0.9680779569892474,63483.88888888889,150.75796258267493,150.86296454166666,0.01994122977501259,42462.444444444445,21021.444444444445,6.0,15.444444444444445,42.0,4.666666666666667,9
gemini-3.1-pro-preview,Gemini 3.1 Pro,full-corpus,Full corpus,0.8603219065403939,0.9816258726195584,0.8457050120772946,0.9680779569892474,130305.88888888889,363.8737491392304,364.07116773133345,0.0020964360587002137,84072.66666666667,46233.22222222222,14.777777777777779,18.22222222222222,42.888888888888886,4.777777777777778,9
