run_id,site,model,mode,rep,analysis_weight,evaluated_fields,correct_value,correct_abstention,incorrect_value,false_abstention,unsupported_value,field_accuracy,precision,recall,abstention_accuracy,false_abstention_rate,unsupported_fill_rate,predicted_abstention_rate,ground_truth_absent_fraction,extraction_tokens,discovery_tokens,model_calls,rejected_count,unresolved_count,conflicts,latency_sec,corpus_fingerprint,notes,input_tokens,output_tokens,performance_total_tokens,performance_model_calls,extraction_latency_sec,profile_latency_sec,performance_status
3fb1bb16-0484-40a7-bee0-1eecb2cbe43d,anvil,gpt-5-mini,bm25,1,0.3333333333333333,147,73,31,8,34,1,0.7074829931972789,0.8902439024390244,0.6347826086956522,0.96875,0.2956521739130435,0.03125,0.4421768707482993,0.2176870748299319,33807.0,4734,4,4,91,0,119.671,b4702f0df1926850d6252174ebf22394763b3add5842824b6f1bdd5c05253cde,"abstentions: additional_documentation, additional_documentation, additional_documentation, additional_documentation (+87 more); model divergence: baseline",24716,9091,33807,4,119.58095508399856,119.67137708399969,completed
6e9757ef-9ce3-4b63-866f-c306f0ed9e0d,anvil,gpt-5.6-terra,bm25,1,0.3333333333333333,147,103,31,0,12,1,0.91156462585034,0.9903846153846154,0.8956521739130435,0.96875,0.1043478260869565,0.03125,0.2925170068027211,0.2176870748299319,27790.0,4734,4,2,61,8,27.742,b4702f0df1926850d6252174ebf22394763b3add5842824b6f1bdd5c05253cde,"conflicts: /slurm/partitions/debug/maximum_walltime_seconds, /slurm/partitions/gpu-debug/maximum_walltime_seconds, /slurm/partitions/wholenode/maximum_walltime_seconds, /slurm/partitions/wide/maximum_walltime_seconds (+4 more); abstentions: additional_documentation, additional_documentation, additional_documentation, additional_documentation (+57 more); model divergence: 7 profile value(s) differ from gpt-5-mini",24692,3098,27790,4,27.65190125000663,27.74200587499945,completed
7461b506-1010-47bb-96e0-4f70ad467eb4,anvil,gemini-3.6-flash,bm25,1,0.3333333333333333,147,106,31,0,9,1,0.9319727891156464,0.9906542056074766,0.9217391304347826,0.96875,0.0782608695652174,0.03125,0.272108843537415,0.2176870748299319,46285.0,4734,4,1,58,9,83.619,b4702f0df1926850d6252174ebf22394763b3add5842824b6f1bdd5c05253cde,"conflicts: /slurm/partitions/debug/maximum_walltime_seconds, /slurm/partitions/gpu-debug/maximum_walltime_seconds, /slurm/partitions/gpu-debug/gpu_count_per_node, /slurm/partitions/wholenode/maximum_walltime_seconds (+5 more); abstentions: additional_documentation, additional_documentation, additional_documentation, additional_documentation (+54 more); model divergence: 7 profile value(s) differ from gpt-5-mini",26669,19616,46285,4,83.50481208100973,83.61872500000027,completed
7b708f71-5d9c-421a-a4b2-00c7797764b7,anvil,gemini-3.1-pro-preview,bm25,1,0.3333333333333333,147,103,31,0,12,1,0.91156462585034,0.9903846153846154,0.8956521739130435,0.96875,0.1043478260869565,0.03125,0.2925170068027211,0.2176870748299319,54722.0,4734,5,6,61,8,140.437,b4702f0df1926850d6252174ebf22394763b3add5842824b6f1bdd5c05253cde,"conflicts: /slurm/partitions/debug/maximum_walltime_seconds, /slurm/partitions/gpu-debug/maximum_walltime_seconds, /slurm/partitions/wholenode/maximum_walltime_seconds, /slurm/partitions/wide/maximum_walltime_seconds (+4 more); abstentions: additional_documentation, additional_documentation, additional_documentation, additional_documentation (+57 more); model divergence: 7 profile value(s) differ from gpt-5-mini",34593,20129,54722,5,140.3149597090014,140.4367409999977,completed
b4d30e1f-f973-4b74-94b6-fbe6a9bd79b0,anvil,gpt-5.6-terra,expanded,1,0.3333333333333333,147,94,31,0,21,1,0.8503401360544217,0.9894736842105264,0.8173913043478261,0.96875,0.1826086956521739,0.03125,0.3537414965986394,0.2176870748299319,29303.0,4734,5,2,68,8,35.079,b4702f0df1926850d6252174ebf22394763b3add5842824b6f1bdd5c05253cde,"conflicts: /slurm/partitions/debug/maximum_walltime_seconds, /slurm/partitions/gpu-debug/maximum_walltime_seconds, /slurm/partitions/wholenode/maximum_walltime_seconds, /slurm/partitions/wide/maximum_walltime_seconds (+4 more); abstentions: additional_documentation, additional_documentation, additional_documentation, additional_documentation (+64 more); model divergence: 5 profile value(s) differ from gpt-5-mini",25374,3929,29303,5,34.97717487599584,35.078951584000606,completed
b39cb110-7fef-4955-bd45-eb553c73ebdd,anvil,gemini-3.6-flash,expanded,1,0.3333333333333333,147,105,31,1,9,1,0.9251700680272108,0.9813084112149532,0.9130434782608696,0.96875,0.0782608695652174,0.03125,0.272108843537415,0.2176870748299319,32290.0,4734,4,0,58,8,65.82,b4702f0df1926850d6252174ebf22394763b3add5842824b6f1bdd5c05253cde,"conflicts: /slurm/partitions/debug/maximum_walltime_seconds, /slurm/partitions/gpu-debug/maximum_walltime_seconds, /slurm/partitions/wholenode/maximum_walltime_seconds, /slurm/partitions/wide/maximum_walltime_seconds (+4 more); abstentions: additional_documentation, additional_documentation, additional_documentation, additional_documentation (+54 more); model divergence: 2 profile value(s) differ from gpt-5-mini",20145,12145,32290,4,65.72865208299481,65.82047195799532,completed
a559715c-2848-49c7-a22d-e7a97b6f2c27,anvil,gpt-5.6-terra,expanded,2,0.3333333333333333,147,100,31,2,13,1,0.891156462585034,0.970873786407767,0.8695652173913043,0.96875,0.1130434782608695,0.03125,0.2993197278911564,0.2176870748299319,33946.0,4734,6,6,63,8,40.249,b4702f0df1926850d6252174ebf22394763b3add5842824b6f1bdd5c05253cde,"conflicts: /slurm/partitions/debug/maximum_walltime_seconds, /slurm/partitions/gpu-debug/maximum_walltime_seconds, /slurm/partitions/wholenode/maximum_walltime_seconds, /slurm/partitions/wide/maximum_walltime_seconds (+4 more); abstentions: additional_documentation, additional_documentation, additional_documentation, additional_documentation (+59 more); model divergence: 5 profile value(s) differ from gpt-5-mini",29752,4194,33946,6,40.152182042991626,40.248998792005295,completed
49489bb3-b87d-4aa2-9644-dfd10861b10d,anvil,gemini-3.6-flash,expanded,2,0.3333333333333333,147,106,31,0,9,1,0.9319727891156464,0.9906542056074766,0.9217391304347826,0.96875,0.0782608695652174,0.03125,0.272108843537415,0.2176870748299319,49357.0,4734,5,3,57,8,99.353,b4702f0df1926850d6252174ebf22394763b3add5842824b6f1bdd5c05253cde,"conflicts: /slurm/partitions/debug/maximum_walltime_seconds, /slurm/partitions/gpu-debug/maximum_walltime_seconds, /slurm/partitions/wholenode/maximum_walltime_seconds, /slurm/partitions/wide/maximum_walltime_seconds (+4 more); abstentions: additional_documentation, additional_documentation, additional_documentation, additional_documentation (+53 more); model divergence: 3 profile value(s) differ from gpt-5-mini",26996,22361,49357,5,99.24837495898828,99.35251720899396,completed
36413199-e13b-4032-ae57-95eeaca7cd0c,anvil,gemini-3.1-pro-preview,expanded,2,0.3333333333333333,147,105,31,0,10,1,0.9251700680272108,0.9905660377358492,0.9130434782608696,0.96875,0.0869565217391304,0.03125,0.2789115646258503,0.2176870748299319,44830.0,4734,5,2,59,8,123.47,b4702f0df1926850d6252174ebf22394763b3add5842824b6f1bdd5c05253cde,"conflicts: /slurm/partitions/debug/maximum_walltime_seconds, /slurm/partitions/gpu-debug/maximum_walltime_seconds, /slurm/partitions/wholenode/maximum_walltime_seconds, /slurm/partitions/wide/maximum_walltime_seconds (+4 more); abstentions: additional_documentation, additional_documentation, additional_documentation, additional_documentation (+55 more); model divergence: 4 profile value(s) differ from gpt-5-mini",27144,17686,44830,5,123.37408658100321,123.46968012499565,completed
1588b38a-590e-493b-8bd3-be8445a0bfa5,anvil,gpt-5.6-terra,expanded,3,0.3333333333333333,147,102,31,1,12,1,0.9047619047619048,0.9807692307692308,0.8869565217391304,0.96875,0.1043478260869565,0.03125,0.2925170068027211,0.2176870748299319,34052.0,4734,6,9,60,8,45.691,b4702f0df1926850d6252174ebf22394763b3add5842824b6f1bdd5c05253cde,"conflicts: /slurm/partitions/debug/maximum_walltime_seconds, /slurm/partitions/gpu-debug/maximum_walltime_seconds, /slurm/partitions/wholenode/maximum_walltime_seconds, /slurm/partitions/wide/maximum_walltime_seconds (+4 more); abstentions: additional_documentation, additional_documentation, additional_documentation, additional_documentation (+56 more); model divergence: 6 profile value(s) differ from gpt-5-mini",29228,4824,34052,6,45.60537050002313,45.690878875000635,completed
