Model,Retrieval,Field Accuracy,Tokens,Latency,Run-to-Run SD
GPT-5 mini,BM25,0.8228998098191058,62696.333333333336,243.9865627175572,0.0405491059256844
GPT-5 mini,LLM-expanded BM25,0.8426209058046699,67741.88888888889,282.6928985466576,0.04440288768304873
GPT-5 mini,Full corpus,0.8576489295928015,138100.33333333334,559.2399666905492,0.03266510575744835
GPT-5.6 Terra,BM25,0.8816855882814341,40943.333333333336,36.451213407330215,0.0022675736961452106
GPT-5.6 Terra,LLM-expanded BM25,0.8566443348828,40027.0,39.444199009440325,0.02087062148149906
GPT-5.6 Terra,Full corpus,0.8596230945208272,94133.33333333333,79.73854824031878,0.0
Gemini 3.6 Flash,BM25,0.8856930612916026,61068.555555555555,89.91105561110696,0.00308819277501709
Gemini 3.6 Flash,LLM-expanded BM25,0.8730553017852842,59458.333333333336,99.98743930999142,0.01969590019543297
Gemini 3.6 Flash,Full corpus,0.8668578542528121,140801.22222222222,260.5953603845693,0.011264199357314653
Gemini 3.1 Pro,BM25,0.8820849094354721,65652.55555555556,149.1711976385648,0.012875406257487119
Gemini 3.1 Pro,LLM-expanded BM25,0.864007238115372,63483.88888888889,150.75796258267493,0.01994122977501259
Gemini 3.1 Pro,Full corpus,0.8603219065403939,130305.88888888889,363.8737491392304,0.0020964360587002137
