run_id,site,model,rep,status,decision,discovery_steps,search_calls,unique_search_results,fetch_attempts,fetch_successes,selected_pages,coverage_count,coverage_fraction,covered_topics,missing_topics,model_unanswered_topics,search_url_jaccard_to_rep1,selected_url_jaccard_to_rep1,topic_jaccard_to_rep1,model_calls,input_tokens,output_tokens,total_tokens,latency_sec,termination_reason,notes
871d5f98-2dba-4749-918a-5a0c98d6a791,anvil,gemini-3.6-flash,1,completed,search_more,2,13,68,13,10,2,4,1.00,networking|resources|storage|submission,,Anvil storage architecture and scratch filesystems|Anvil hardware resources and compute/GPU node specifications|Anvil data transfer tools and network configuration,1.000,1.000,1.000,2,4565,1903,6468,228.837,model_selected,
8744f3c8-1d08-48b0-8495-c6368217cf0d,anvil,gemini-3.6-flash,2,completed,complete,2,13,67,13,5,3,4,1.00,networking|resources|storage|submission,,Detailed interconnect network topology and bandwidth specifications,0.286,0.250,1.000,2,4232,1768,6000,235.621,model_selected,
cafb341a-9f08-475c-9a71-0168e6dd9731,anvil,gemini-3.6-flash,3,completed,complete,2,13,69,13,9,2,4,1.00,networking|resources|storage|submission,,storage|networking,0.384,0.333,1.000,2,4026,1749,5775,189.633,model_selected,
2ab3786c-8d0a-4fab-a069-cc2b0e4c4b7e,anvil,gpt-5-mini,1,completed,complete,1,10,59,10,3,1,4,1.00,networking|resources|storage|submission,,"Detailed storage quotas and per-filesystem limits (home, project, scratch)|Filesystem types and performance characteristics (e.g., Lustre, NFS, parallel filesystem) and recommended I/O practices|Data transfer mechanisms and recommended tools (scp, rsync, Globus) and endpoints|Networking/topology details (interconnect type, bandwidth/latency between compute nodes, MPI networking guidance)|External access policies (firewall rules, allowed ports, VPN requirements)|Backup/retention policies for filesystems and snapshot schedules|Any special constraints on internode communication for jobs (e.g., openib/IB drivers, RDMA support)",1.000,1.000,1.000,1,1684,758,2442,44.616,model_selected,
2b271a7c-3489-4cbc-a547-3305c281af45,anvil,gpt-5-mini,2,completed,complete,1,10,58,10,9,5,4,1.00,networking|resources|storage|submission,,"Detailed cluster networking/interconnect specifications (fabric type, topology, per-link bandwidth, RDMA support) and any network usage policies or port restrictions|Explicit recommended data transfer services and instructions (e.g., Globus endpoints, rsync over login nodes, recommended tools and limits) beyond the S3 endpoint|Any hard quotas, performance limits, or throughput guarantees for object storage (per-bucket or per-user limits, egress limits)|Canonical hostnames/FQDN conventions for compute/login/data nodes (beyond login03 observed) and DNS naming patterns|Detailed per-node hardware specs if not fully documented (exact CPU models, memory per node, GPU models/counts, NIC models)",0.539,0.200,1.000,1,5058,1251,6309,52.308,model_selected,
75c5ec4d-1c21-474b-a071-69a0e5be50ef,anvil,gpt-5-mini,3,completed,complete,1,10,64,10,2,2,4,1.00,networking|resources|storage|submission,,"Detailed storage layout and quotas (paths for /home, /scratch, project filesystems; per-user or per-project quotas; retention/cleanup policies).|Data transfer methods and endpoints (Globus endpoints, recommended tools, login node/data transfer nodes, firewall rules).|Networking specifics for compute nodes (interconnect type such as InfiniBand/Ethernet, bandwidth/latency, whether compute nodes have external network access).|Full resource inventory (node counts by type, exact cores/memory per node, GPU models and counts, special nodes).|Details of filesystem performance/tuning (parallel filesystem characteristics, stripe settings, recommended IO patterns).|Any site-specific limits not covered in the job guide (per-user job limits, concurrency, QOS rules beyond the partition change announcement).",0.519,0.500,1.000,1,2116,939,3055,47.806,model_selected,
dd5291ff-7e05-48e6-a810-b7157a819831,anvil,gpt-5.6-terra,1,completed,complete,2,13,72,13,11,4,4,1.00,networking|resources|storage|submission,,"Networking: no fetched target-site page documents network topology, interconnect, transfer endpoints/protocols, or external connectivity.|Conventional filesystem storage details: aside from file-management navigation, scratch-purging policy, and object-storage overview, the fetched excerpts do not establish filesystem paths, quotas, or performance characteristics.",1.000,1.000,1.000,2,5594,646,6240,117.421,model_selected,
2ba29d7d-88c4-429e-8225-4a8210c3e32b,anvil,gpt-5.6-terra,2,completed,complete,1,10,60,10,4,2,3,0.75,networking|resources|storage,submission,Specific networking policy or connectivity details are not evidenced by the fetched excerpts; no additional bounded search is necessary because the canonical guide is available and may contain any applicable links.,0.435,0.200,0.750,1,1070,215,1285,157.791,model_selected,
1160756a-363c-4645-afad-5ec4ce6991dc,anvil,gpt-5.6-terra,3,completed,complete,2,13,60,13,10,3,4,1.00,networking|resources|storage|submission,,"Networking guidance is not evidenced in the fetched excerpts.|Detailed storage quotas, retention, and transfer procedures are not evidenced in the fetched excerpts.",0.500,0.400,1.000,2,3707,505,4212,272.175,model_selected,
9f40322c-693f-4bbd-be7a-934e74b2b46f,stampede3,gemini-3.1-pro-preview,1,completed,complete,1,10,36,10,10,1,4,1.00,networking|resources|storage|submission,,,1.000,1.000,1.000,1,3529,467,3996,38.840,model_selected,
