site_id,field_id,field_path,section,value_type,expected_state,expected_value_json,example_value_json,evidence_class,source,suggested_method,match_rule,notes
anvil,1,/scheduler_type,scheduler,string,,,"""slurm""",configuration,,measurement: command -v sinfo; command -v condor_status,exact_trimmed_lower,
anvil,2,/slurm/version,slurm,string,,,"""25.11.1""",configuration,,measurement: sinfo --version,exact_trimmed_lower,
anvil,3,/slurm/submit_command,slurm,string,,,"""sbatch""",configuration,,measurement: command -v sbatch,exact_trimmed_lower,
anvil,4,/slurm/default_partition,slurm,string,,,"""shared""",configuration,,"measurement: sinfo -h -o ""%P""",exact_trimmed_lower,
anvil,5,/slurm/options/account/syntax,slurm,array,,,"[""--account={account}"", ""-A {account}""]",policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",set,
anvil,5,/slurm/options/account/required,slurm,boolean,,,true,policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",exact_trimmed_lower,
anvil,6,/slurm/options/partition/syntax,slurm,array,,,"[""--partition={partition}"", ""-p {partition}""]",policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",set,
anvil,6,/slurm/options/partition/required,slurm,boolean,,,true,policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",exact_trimmed_lower,
anvil,7,/slurm/options/nodes/syntax,slurm,array,,,"[""--nodes={count}"", ""-N {count}""]",policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",set,
anvil,7,/slurm/options/nodes/required,slurm,boolean,,,null,policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",exact_trimmed_lower,Example is null because the documentation does not explicitly establish universal optionality; current profile inferred false.
anvil,8,/slurm/options/cpus-per-task/syntax,slurm,array,,,"[""--cpus-per-task={count}""]",policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",set,
anvil,8,/slurm/options/cpus-per-task/required,slurm,boolean,,,null,policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",exact_trimmed_lower,Example is null because the documentation does not explicitly establish universal optionality; current profile inferred false.
anvil,9,/slurm/options/time/syntax,slurm,array,,,"[""--time={time}"", ""-t {time}""]",policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",set,
anvil,9,/slurm/options/time/required,slurm,boolean,,,null,policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",exact_trimmed_lower,Example is null because the documentation does not explicitly establish universal optionality; current profile inferred false.
anvil,10,/slurm/options/ntasks/syntax,slurm,array,,,"[""--ntasks={count}"", ""-n {count}""]",policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",set,
anvil,10,/slurm/options/ntasks/required,slurm,boolean,,,null,policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",exact_trimmed_lower,Example is null because the documentation does not explicitly establish universal optionality; current profile inferred false.
anvil,11,/slurm/options/mem/syntax,slurm,array,,,"[""--mem={size}""]",policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",set,
anvil,11,/slurm/options/mem/required,slurm,boolean,,,null,policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",exact_trimmed_lower,Example is null because the documentation does not explicitly establish universal optionality; current profile inferred false.
anvil,12,/slurm/options/job-name/syntax,slurm,array,,,"[""--job-name={name}"", ""-J {name}""]",policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",set,
anvil,12,/slurm/options/job-name/required,slurm,boolean,,,null,policy,,"doc: Anvil user guide, Mandatory SBATCH fields and submission directive syntax",exact_trimmed_lower,Example is null because the documentation does not explicitly establish universal optionality; current profile inferred false.
anvil,13,/slurm/partitions/wholenode/maximum_walltime_seconds,slurm,integer,,,-1,policy,,"doc: Anvil user guide, queue maximum walltime; compare with sinfo -h -o ""%P|%l""",numeric_exact,Example is the measured value; current profile selected 345600.
anvil,13,/slurm/partitions/wholenode/maximum_nodes_per_job,slurm,integer,,,16,policy,,"doc: Anvil user guide, queue node limits and node-sharing rules",numeric_exact,
anvil,13,/slurm/partitions/wholenode/shared_nodes,slurm,boolean,,,false,policy,,"doc: Anvil user guide, queue node limits and node-sharing rules",exact_trimmed_lower,
anvil,13,/slurm/partitions/wholenode/node_count,slurm,integer,,,750,configuration,,"measurement: sinfo -h -o ""%P|%D|%m|%c|%G|%l""",numeric_exact,
anvil,13,/slurm/partitions/wholenode/cpus_per_node,slurm,integer,,,128,configuration,,"measurement: sinfo -h -o ""%P|%D|%m|%c|%G|%l""",numeric_exact,
anvil,13,/slurm/partitions/wholenode/memory_mib_per_node,slurm,integer,,,257400,configuration,,"measurement: sinfo -h -o ""%P|%D|%m|%c|%G|%l""",numeric_exact,
anvil,13,/slurm/partitions/wholenode/gpu_count_per_node,slurm,integer,,,null,configuration,,"measurement: sinfo -h -o ""%P|%G""; doc: Anvil user guide, GPU and AI node specifications",numeric_exact,
anvil,13,/slurm/partitions/wholenode/gpu_models,slurm,array,,,[],configuration,,"measurement: sinfo -h -o ""%P|%G""; doc: Anvil user guide, GPU and AI node specifications",set,
anvil,14,/slurm/partitions/standard/maximum_walltime_seconds,slurm,integer,,,-1,policy,,"doc: Anvil user guide, queue maximum walltime; compare with sinfo -h -o ""%P|%l""",numeric_exact,
anvil,14,/slurm/partitions/standard/maximum_nodes_per_job,slurm,integer,,,null,policy,,"doc: Anvil user guide, queue node limits and node-sharing rules",numeric_exact,
anvil,14,/slurm/partitions/standard/shared_nodes,slurm,boolean,,,null,policy,,"doc: Anvil user guide, queue node limits and node-sharing rules",exact_trimmed_lower,
anvil,14,/slurm/partitions/standard/node_count,slurm,integer,,,750,configuration,,"measurement: sinfo -h -o ""%P|%D|%m|%c|%G|%l""",numeric_exact,
anvil,14,/slurm/partitions/standard/cpus_per_node,slurm,integer,,,128,configuration,,"measurement: sinfo -h -o ""%P|%D|%m|%c|%G|%l""",numeric_exact,
anvil,14,/slurm/partitions/standard/memory_mib_per_node,slurm,integer,,,257400,configuration,,"measurement: sinfo -h -o ""%P|%D|%m|%c|%G|%l""",numeric_exact,
