site_id,field_id,field_path,section,value_type,expected_state,expected_value_json,example_value_json,evidence_class,source,suggested_method,match_rule,notes
notre-dame-crc,1,/scheduler_type,scheduler,string,has_value,"""htcondor""","""htcondor""",configuration,,measurement: command -v condor_status; command -v sinfo,exact_trimmed_lower,
notre-dame-crc,2,/htcondor/version,htcondor,string,has_value,"""23.7.2 2024-05-16 BuildID: 733409 PackageID: 23.7.2-1 GitSHA: 585ec167""","""23.7.2 2024-05-16 BuildID: 733409 PackageID: 23.7.2-1 GitSHA: 585ec167""",configuration,,measurement: condor_version,exact_trimmed_lower,
notre-dame-crc,3,/htcondor/submit_command,htcondor,string,has_value,"""condor_submit""","""condor_submit""",configuration,measurement,measurement: command -v condor_submit,exact_trimmed_lower,
notre-dame-crc,4,/htcondor/collector_host,htcondor,string,has_value,"""condor-central-mgr.crc.nd.edu""","""condor-central-mgr.crc.nd.edu""",configuration,measurement,measurement: condor_config_val COLLECTOR_HOST,exact_trimmed_lower,
notre-dame-crc,5,/htcondor/file_transfer_supported,htcondor,boolean,has_value,TRUE,TRUE,configuration,,"measurement: condor_status ClassAds, HasFileTransfer",exact_trimmed_lower,
notre-dame-crc,6,/htcondor/guaranteed_runtime,htcondor,boolean,has_value,FALSE,FALSE,policy,,"doc: Notre Dame CRC HTCondor guide, job eviction and displacement policy",exact_trimmed_lower,
notre-dame-crc,7,/htcondor/preemptible,htcondor,boolean,has_value,TRUE,TRUE,policy,,"doc: Notre Dame CRC HTCondor guide, job eviction and displacement policy",exact_trimmed_lower,
notre-dame-crc,8,/htcondor/maximum_walltime,htcondor,string,has_value,"""not_applicable""","""not_applicable""",policy,,"doc: Notre Dame CRC HTCondor guide, whether a walltime-cap concept applies",exact_trimmed_lower,
notre-dame-crc,10,/htcondor/submit_attributes/executable/syntax,htcondor,array,has_value,"[""executable = Path_to_your_executable_file/executable.sh""]","[""executable = Path_to_your_executable_file/executable.sh""]",policy,,"doc: Notre Dame CRC HTCondor guide, executable submit syntax",set,
notre-dame-crc,10,/htcondor/submit_attributes/executable/required,htcondor,boolean,has_value,FALSE,FALSE,policy,,"doc: Notre Dame CRC HTCondor guide, whether executable is mandatory",exact_trimmed_lower,
notre-dame-crc,11,/htcondor/submit_attributes/request_cpus/syntax,htcondor,array,has_value,"[""request_cpus = {cpu_count}""]","[""request_cpus = 4""]",policy,,"doc: Notre Dame CRC HTCondor guide, request_cpus submit syntax",set,
