site_id,field_path,section,value_type,expected_state,expected_value_json,example_value_json,acceptable_values_json,evidence_class,expected_source_type,source_url,source_quote,match_rule,truth_scope,priority,review_status,notes
anvil,/aliases,site,array,value,"[""Anvil""]","[""Anvil""]",,identity,measurement,,,set,site,normal,unreviewed,
anvil,/scheduler_type,scheduler,string,value,"""slurm""","""slurm""",,configuration,measurement,,,exact,site,high,unreviewed,
anvil,/scheduler_version,scheduler,string,value,"""25.11.1""","""25.11.1""",,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/submit_command,slurm,string,value,"""sbatch""","""sbatch""",,configuration,measurement,,,exact,site,high,unreviewed,
anvil,/slurm/options,slurm,array,value,"[""account"", ""partition"", ""nodes"", ""cpus-per-task"", ""time""]","[""account"", ""partition""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/unmapped_options,slurm,array,silent,,"[{""documented_name"":""site-license"",""documented_syntax"":[""--site-license={license}""],""requirement"":""required"",""status"":""needs_mapping""}]",,policy,documentation,,,manual,site,high,unreviewed,
anvil,/slurm/options/account/syntax,slurm,array,value,"[""-A {account}"", ""--account={account}""]","[""-A {account}"", ""--account={account}""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/options/account/required,slurm,boolean,value,true,true,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/options/account/allowed_values,slurm,array,silent,,"[""shared"", ""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/options/partition/syntax,slurm,array,value,"[""-p {partition}"", ""--partition={partition}""]","[""-p {partition}"", ""--partition={partition}""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/options/partition/required,slurm,boolean,value,true,true,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/options/partition/allowed_values,slurm,array,value,"[""wholenode"",
          ""standard"",
          ""shared"",
          ""wide"",
          ""highmem"",
          ""debug"",
          ""gpu"",
          ""ai"",
          ""gpu-debug"",
          ""profiling""
        ]","[""shared"", ""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/options/nodes/syntax,slurm,array,value,"[""--nodes={count}"", ""-N {count}""]","[""--nodes={count}"", ""-N {count}""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/options/nodes/required,slurm,boolean,silent,,true,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/options/nodes/allowed_values,slurm,array,silent,,"[""shared"", ""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/options/cpus-per-task/syntax,slurm,array,value,"[""--cpus-per-task={count}""]","[""--cpus-per-task={count}""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/options/cpus-per-task/required,slurm,boolean,silent,,true,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/options/cpus-per-task/allowed_values,slurm,array,silent,,"[""shared"", ""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/options/time/syntax,slurm,array,value,"[""-t {time}"", ""--time={time}""]","[""-t {time}"", ""--time={time}""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/options/time/required,slurm,boolean,silent,,true,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/options/time/allowed_values,slurm,array,silent,,"[""shared"", ""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions,slurm,array,value,"[""wholenode"",
          ""standard"",
          ""shared"",
          ""wide"",
          ""highmem"",
          ""debug"",
          ""gpu"",
          ""ai"",
          ""gpu-debug"",
          ""profiling""
        ]","[""shared"", ""gpu""]",,configuration,measurement,,,set,site,high,unreviewed,
anvil,/slurm/partitions/wholenode/available,slurm,boolean,value,true,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/wholenode/maximum_walltime_seconds,slurm,integer,value,345600,3600,,policy,documentation,,,exact,site,high,unreviewed,
