site,field_path,weighted_run_occurrences,raw_run_occurrences
anvil,/slurm/partitions/ai/maximum_walltime_seconds,11.0,19
anvil,/slurm/partitions/debug/maximum_walltime_seconds,11.0,19
anvil,/slurm/partitions/gpu-debug/gpu_count_per_node,3.333333333333333,4
anvil,/slurm/partitions/gpu-debug/maximum_walltime_seconds,11.0,19
anvil,/slurm/partitions/gpu/maximum_walltime_seconds,11.0,19
anvil,/slurm/partitions/highmem/maximum_walltime_seconds,11.0,19
anvil,/slurm/partitions/shared/maximum_walltime_seconds,11.0,19
anvil,/slurm/partitions/wholenode/maximum_walltime_seconds,11.0,19
anvil,/slurm/partitions/wide/maximum_walltime_seconds,11.0,19
stampede3,/slurm/partitions/h100/maximum_walltime_seconds,12.0,20
stampede3,/slurm/partitions/icx/maximum_walltime_seconds,12.0,20
stampede3,/slurm/partitions/nvdimm/maximum_walltime_seconds,12.0,20
stampede3,/slurm/partitions/pvc/maximum_walltime_seconds,12.0,20
stampede3,/slurm/partitions/skx/maximum_walltime_seconds,12.0,20
stampede3,/slurm/partitions/spr/maximum_walltime_seconds,12.0,20
