site,evidence_class,weighted_fields,correct_value,correct_abstention,incorrect_value,false_abstention,unsupported_value,field_accuracy,precision,recall,abstention_accuracy,false_abstention_rate,unsupported_fill_rate,predicted_abstention_rate,ground_truth_absent_fraction
anvil,configuration,912.0,653.6666666666666,216.0,2.333333333333333,40.00000000000001,0.0,0.9535818713450293,0.9964430894308942,0.939176245210728,1.0,0.057471264367816105,0.0,0.2807017543859649,0.23684210526315788
anvil,policy,587.9999999999999,375.0,107.99999999999997,12.666666666666668,80.3333333333333,12.000000000000002,0.8214285714285714,0.9382819015846539,0.8012820512820513,0.9,0.1716524216524216,0.10000000000000003,0.32029478458049876,0.20408163265306117
anvil,capability,240.00000000000006,156.00000000000003,36.00000000000001,1.0,47.00000000000002,0.0,0.7999999999999999,0.9936305732484076,0.7647058823529411,1.0,0.23039215686274514,0.0,0.3458333333333334,0.15
anvil,identity,24.000000000000004,12.000000000000002,12.000000000000002,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5
stampede3,configuration,852.0,588.0,216.00000000000003,36.00000000000001,12.0,0.0,0.9436619718309859,0.9423076923076923,0.9245283018867925,1.0,0.018867924528301886,0.0,0.26760563380281693,0.25352112676056343
stampede3,policy,792.0,610.3333333333334,83.66666666666666,2.0,71.66666666666666,24.33333333333333,0.8762626262626263,0.9586387434554974,0.8923001949317739,0.7746913580246914,0.10477582846003897,0.22530864197530862,0.1961279461279461,0.13636363636363635
stampede3,capability,240.0,182.0,36.00000000000001,0.0,21.999999999999993,0.0,0.9083333333333333,1.0,0.8921568627450981,1.0,0.10784313725490192,0.0,0.24166666666666667,0.15000000000000002
stampede3,identity,24.0,12.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5
notre-dame-crc,configuration,396.0,300.0,24.0,0.0,71.99999999999999,0.0,0.8181818181818182,1.0,0.8064516129032258,1.0,0.19354838709677416,0.0,0.24242424242424238,0.06060606060606061
notre-dame-crc,policy,264.0,191.0,22.666666666666664,4.333333333333333,44.66666666666667,1.3333333333333333,0.8093434343434343,0.971186440677966,0.7958333333333333,0.9444444444444445,0.18611111111111114,0.05555555555555556,0.2550505050505051,0.0909090909090909
notre-dame-crc,capability,144.0,84.0,0.0,0.0,60.0,0.0,0.5833333333333334,1.0,0.5833333333333334,,0.4166666666666667,,0.4166666666666667,0.0
notre-dame-crc,identity,12.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.0,0.0
