site,field_path,weighted_errors,weighted_evaluations,raw_errors,raw_evaluations,error_rate
anvil,/accounting/allocation_required,2.333333333333333,12.0,7,36,0.19444444444444442
anvil,/accounting/filesystem_storage_charged,11.666666666666668,12.0,35,36,0.9722222222222223
anvil,/htcondor,0.0,12.0,0,36,0.0
anvil,/network/compute/dns_resolution,0.0,12.0,0,36,0.0
anvil,/network/compute/hostname_patterns,0.0,12.0,0,36,0.0
anvil,/network/compute/local_tcp_bind,0.0,12.0,0,36,0.0
anvil,/network/compute/local_tcp_loopback,0.0,12.0,0,36,0.0
anvil,/network/compute/outbound_https,11.333333333333334,12.0,34,36,0.9444444444444445
anvil,/network/compute_compute/suggested_port_range,0.0,12.0,0,36,0.0
anvil,/network/compute_compute/tcp_connect,0.0,12.0,0,36,0.0
anvil,/network/login/dns_resolution,0.0,12.0,0,36,0.0
anvil,/network/login/hostname_patterns,0.0,12.0,0,36,0.0
anvil,/network/login/local_tcp_bind,0.0,12.0,0,36,0.0
anvil,/network/login/local_tcp_loopback,0.0,12.0,0,36,0.0
anvil,/network/login/outbound_https,12.000000000000002,12.0,36,36,1.0000000000000002
anvil,/network/login_compute/suggested_port_range,0.0,12.0,0,36,0.0
anvil,/network/login_compute/tcp_connect,0.0,12.0,0,36,0.0
anvil,/scheduler_type,0.0,12.0,0,36,0.0
anvil,/slurm/default_partition,0.0,12.0,0,36,0.0
anvil,/slurm/options/account/required,2.6666666666666665,12.0,8,36,0.2222222222222222
anvil,/slurm/options/account/syntax,0.0,12.0,0,36,0.0
anvil,/slurm/options/cpus-per-task/required,1.3333333333333333,12.0,4,36,0.1111111111111111
anvil,/slurm/options/cpus-per-task/syntax,0.0,12.0,0,36,0.0
anvil,/slurm/options/job-name/required,1.3333333333333333,12.0,4,36,0.1111111111111111
anvil,/slurm/options/job-name/syntax,1.0,12.0,3,36,0.08333333333333333
anvil,/slurm/options/mem/required,1.3333333333333333,12.0,4,36,0.1111111111111111
anvil,/slurm/options/mem/syntax,1.0,12.0,3,36,0.08333333333333333
anvil,/slurm/options/nodes/required,1.6666666666666665,12.0,5,36,0.13888888888888887
anvil,/slurm/options/nodes/syntax,0.0,12.0,0,36,0.0
anvil,/slurm/options/ntasks/required,1.3333333333333333,12.0,4,36,0.1111111111111111
anvil,/slurm/options/ntasks/syntax,1.0,12.0,3,36,0.08333333333333333
anvil,/slurm/options/partition/required,5.999999999999999,12.0,18,36,0.49999999999999994
anvil,/slurm/options/partition/syntax,0.0,12.0,0,36,0.0
anvil,/slurm/options/time/required,1.9999999999999998,12.0,6,36,0.16666666666666666
anvil,/slurm/options/time/syntax,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/ai/cpus_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/ai/gpu_count_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/ai/gpu_models,8.666666666666668,12.0,26,36,0.7222222222222223
anvil,/slurm/partitions/ai/maximum_nodes_per_job,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/ai/maximum_walltime_seconds,0.6666666666666666,12.0,2,36,0.05555555555555555
anvil,/slurm/partitions/ai/memory_mib_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/ai/node_count,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/ai/shared_nodes,7.666666666666664,12.0,23,36,0.6388888888888887
anvil,/slurm/partitions/debug/cpus_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/debug/gpu_count_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/debug/gpu_models,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/debug/maximum_nodes_per_job,0.6666666666666666,12.0,2,36,0.05555555555555555
anvil,/slurm/partitions/debug/maximum_walltime_seconds,0.6666666666666666,12.0,2,36,0.05555555555555555
anvil,/slurm/partitions/debug/memory_mib_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/debug/node_count,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/debug/shared_nodes,0.3333333333333333,12.0,1,36,0.027777777777777776
anvil,/slurm/partitions/gpu-debug/cpus_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/gpu-debug/gpu_count_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/gpu-debug/gpu_models,11.0,12.0,33,36,0.9166666666666666
anvil,/slurm/partitions/gpu-debug/maximum_nodes_per_job,0.6666666666666666,12.0,2,36,0.05555555555555555
anvil,/slurm/partitions/gpu-debug/maximum_walltime_seconds,0.6666666666666666,12.0,2,36,0.05555555555555555
anvil,/slurm/partitions/gpu-debug/memory_mib_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/gpu-debug/node_count,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/gpu-debug/shared_nodes,5.333333333333333,12.0,16,36,0.4444444444444444
anvil,/slurm/partitions/gpu/cpus_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/gpu/gpu_count_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/gpu/gpu_models,8.666666666666668,12.0,26,36,0.7222222222222223
anvil,/slurm/partitions/gpu/maximum_nodes_per_job,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/gpu/maximum_walltime_seconds,0.6666666666666666,12.0,2,36,0.05555555555555555
anvil,/slurm/partitions/gpu/memory_mib_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/gpu/node_count,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/gpu/shared_nodes,4.999999999999999,12.0,15,36,0.4166666666666666
anvil,/slurm/partitions/highmem/cpus_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/highmem/gpu_count_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/highmem/gpu_models,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/highmem/maximum_nodes_per_job,0.6666666666666666,12.0,2,36,0.05555555555555555
anvil,/slurm/partitions/highmem/maximum_walltime_seconds,0.6666666666666666,12.0,2,36,0.05555555555555555
anvil,/slurm/partitions/highmem/memory_mib_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/highmem/node_count,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/highmem/shared_nodes,12.000000000000002,12.0,36,36,1.0000000000000002
anvil,/slurm/partitions/profiling/cpus_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/profiling/gpu_count_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/profiling/gpu_models,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/profiling/maximum_nodes_per_job,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/profiling/maximum_walltime_seconds,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/profiling/memory_mib_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/profiling/node_count,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/profiling/shared_nodes,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/shared/cpus_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/shared/gpu_count_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/shared/gpu_models,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/shared/maximum_nodes_per_job,0.6666666666666666,12.0,2,36,0.05555555555555555
anvil,/slurm/partitions/shared/maximum_walltime_seconds,0.6666666666666666,12.0,2,36,0.05555555555555555
anvil,/slurm/partitions/shared/memory_mib_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/shared/node_count,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/shared/shared_nodes,10.000000000000004,12.0,30,36,0.8333333333333336
anvil,/slurm/partitions/standard/cpus_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/standard/gpu_count_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/standard/gpu_models,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/standard/maximum_nodes_per_job,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/standard/maximum_walltime_seconds,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/standard/memory_mib_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/standard/node_count,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/standard/shared_nodes,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/wholenode/cpus_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/wholenode/gpu_count_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/wholenode/gpu_models,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/wholenode/maximum_nodes_per_job,0.6666666666666666,12.0,2,36,0.05555555555555555
anvil,/slurm/partitions/wholenode/maximum_walltime_seconds,0.6666666666666666,12.0,2,36,0.05555555555555555
anvil,/slurm/partitions/wholenode/memory_mib_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/wholenode/node_count,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/wholenode/shared_nodes,0.6666666666666666,12.0,2,36,0.05555555555555555
anvil,/slurm/partitions/wide/cpus_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/wide/gpu_count_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/wide/gpu_models,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/wide/maximum_nodes_per_job,0.6666666666666666,12.0,2,36,0.05555555555555555
anvil,/slurm/partitions/wide/maximum_walltime_seconds,0.6666666666666666,12.0,2,36,0.05555555555555555
anvil,/slurm/partitions/wide/memory_mib_per_node,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/wide/node_count,0.0,12.0,0,36,0.0
anvil,/slurm/partitions/wide/shared_nodes,0.6666666666666666,12.0,2,36,0.05555555555555555
anvil,/slurm/submit_command,0.0,12.0,0,36,0.0
anvil,/slurm/version,0.0,12.0,0,36,0.0
anvil,/storage/home/compute_readable,0.0,12.0,0,36,0.0
anvil,/storage/home/compute_visible,0.0,12.0,0,36,0.0
anvil,/storage/home/compute_writable,0.0,12.0,0,36,0.0
anvil,/storage/home/environment_variables,0.0,12.0,0,36,0.0
anvil,/storage/home/filesystem_type,0.0,12.0,0,36,0.0
anvil,/storage/home/login_readable,0.0,12.0,0,36,0.0
anvil,/storage/home/login_writable,0.0,12.0,0,36,0.0
anvil,/storage/home/path_pattern,0.0,12.0,0,36,0.0
anvil,/storage/home/purge_after_days,0.0,12.0,0,36,0.0
anvil,/storage/home/shared_across_compute_nodes,12.000000000000002,12.0,36,36,1.0000000000000002
anvil,/storage/project/compute_readable,0.0,12.0,0,36,0.0
anvil,/storage/project/compute_visible,0.0,12.0,0,36,0.0
anvil,/storage/project/compute_writable,0.0,12.0,0,36,0.0
anvil,/storage/project/environment_variables,0.0,12.0,0,36,0.0
anvil,/storage/project/filesystem_type,0.0,12.0,0,36,0.0
anvil,/storage/project/login_readable,0.0,12.0,0,36,0.0
anvil,/storage/project/login_writable,0.0,12.0,0,36,0.0
anvil,/storage/project/path_pattern,0.0,12.0,0,36,0.0
anvil,/storage/project/purge_after_days,0.0,12.0,0,36,0.0
anvil,/storage/project/shared_across_compute_nodes,12.000000000000002,12.0,36,36,1.0000000000000002
anvil,/storage/scratch/compute_readable,0.0,12.0,0,36,0.0
anvil,/storage/scratch/compute_visible,0.0,12.0,0,36,0.0
anvil,/storage/scratch/compute_writable,0.0,12.0,0,36,0.0
anvil,/storage/scratch/environment_variables,0.0,12.0,0,36,0.0
anvil,/storage/scratch/filesystem_type,0.0,12.0,0,36,0.0
anvil,/storage/scratch/login_readable,0.0,12.0,0,36,0.0
anvil,/storage/scratch/login_writable,0.0,12.0,0,36,0.0
