model,mode,field_accuracy,precision,recall,abstention_accuracy,extraction_tokens,latency_sec,model_calls,rejected_count,unresolved_count,balanced_configurations,raw_runs
gpt-5-mini,bm25,0.8030985979297379,0.9370094053881716,0.7793025362318841,0.884744623655914,58031.0,213.18133333333336,4.666666666666667,5.333333333333333,49.333333333333336,3.0,3.0
gpt-5.6-terra,bm25,0.8809297303827189,0.9859547633937877,0.8688632246376812,0.9788306451612904,43962.666666666664,35.44766666666666,4.666666666666667,5.333333333333333,40.0,3.0,3.0
gemini-3.6-flash,bm25,0.8856360154124543,0.9834438749874385,0.8775588768115942,0.9680779569892474,59950.666666666664,96.97266666666667,4.333333333333333,3.0,38.666666666666664,3.0,3.0
gemini-3.1-pro-preview,bm25,0.8809297303827189,0.9834615384615385,0.8714673913043479,0.9680779569892474,65655.66666666667,142.86566666666667,5.0,6.333333333333333,40.333333333333336,3.0,3.0
gpt-5.6-terra,expanded,0.8566443348828,0.9777639116432094,0.8398097826086955,0.9788306451612904,40027.0,39.54488888888889,5.666666666666667,13.0,43.33333333333332,3.0,9.0
gemini-3.6-flash,expanded,0.8730553017852842,0.979725573226257,0.862409420289855,0.9680779569892474,59458.33333333332,100.09188888888889,5.333333333333333,8.222222222222223,41.44444444444444,3.0,9.0
gemini-3.1-pro-preview,expanded,0.8640072381153718,0.9762952312669736,0.8529589371980676,0.9680779569892474,63483.88888888888,150.8631111111111,6.0,15.444444444444443,41.99999999999999,3.0,9.0
gpt-5-mini,full-corpus,0.8333836679325818,0.9553726536652433,0.8208106884057971,0.9465725806451614,126080.0,398.325,14.666666666666666,34.333333333333336,42.0,3.0,3.0
gpt-5.6-terra,full-corpus,0.8596230945208272,0.9824870118987766,0.8448369565217391,0.9680779569892474,86389.33333333333,69.73133333333334,13.0,6.333333333333333,45.333333333333336,3.0,3.0
gemini-3.6-flash,full-corpus,0.8694270160894547,0.9824870118987766,0.8552536231884057,0.9680779569892474,127952.0,228.4416666666667,13.333333333333334,7.333333333333333,44.666666666666664,3.0,3.0
gemini-3.1-pro-preview,full-corpus,0.8617195305795273,0.9826077323584802,0.8474411231884057,0.9680779569892474,123036.66666666667,308.98499999999996,14.333333333333334,17.333333333333332,42.666666666666664,3.0,3.0
gpt-5-mini,expanded,0.84262090580467,0.9655206762016125,0.8310461956521737,0.9367159498207883,67741.88888888889,282.81144444444436,6.5555555555555545,18.44444444444444,41.44444444444444,3.0,9.0
