run_id,site,model,mode,rep,status,extraction_tokens,discovery_tokens,model_calls,rejected_count,unresolved_count,conflicts,latency_sec,corpus_fingerprint,notes
3fb1bb16-0484-40a7-bee0-1eecb2cbe43d,anvil,gpt-5-mini,bm25,1,completed,33807,4734,4,4,91,0,119.671,b4702f0df1926850d6252174ebf22394763b3add5842824b6f1bdd5c05253cde,"abstentions: additional_documentation, additional_documentation, additional_documentation, additional_documentation (+87 more); model divergence: baseline"
6e9757ef-9ce3-4b63-866f-c306f0ed9e0d,anvil,gpt-5.6-terra,bm25,1,completed,27790,4734,4,2,61,8,27.742,b4702f0df1926850d6252174ebf22394763b3add5842824b6f1bdd5c05253cde,"conflicts: /slurm/partitions/debug/maximum_walltime_seconds, /slurm/partitions/gpu-debug/maximum_walltime_seconds, /slurm/partitions/wholenode/maximum_walltime_seconds, /slurm/partitions/wide/maximum_walltime_seconds (+4 more); abstentions: additional_documentation, additional_documentation, additional_documentation, additional_documentation (+57 more); model divergence: 7 profile value(s) differ from gpt-5-mini"
3c7b23e2-17a0-4ba1-b30c-a1172f827d1a,anvil,gemini-2.5-flash,bm25,1,failed,,4734,3,3,94,0,1.270,b4702f0df1926850d6252174ebf22394763b3add5842824b6f1bdd5c05253cde,failure: Gemini request failed with HTTP status 404.
6a5c5888-4d3a-4cc3-9b39-a4eaf05cdf08,anvil,gemini-2.5-pro,bm25,1,failed,,4734,3,3,94,0,1.084,b4702f0df1926850d6252174ebf22394763b3add5842824b6f1bdd5c05253cde,failure: Gemini request failed with HTTP status 404.
7461b506-1010-47bb-96e0-4f70ad467eb4,anvil,gemini-3.6-flash,bm25,1,completed,46285,4734,4,1,58,9,83.619,b4702f0df1926850d6252174ebf22394763b3add5842824b6f1bdd5c05253cde,"conflicts: /slurm/partitions/debug/maximum_walltime_seconds, /slurm/partitions/gpu-debug/maximum_walltime_seconds, /slurm/partitions/gpu-debug/gpu_count_per_node, /slurm/partitions/wholenode/maximum_walltime_seconds (+5 more); abstentions: additional_documentation, additional_documentation, additional_documentation, additional_documentation (+54 more); model divergence: 7 profile value(s) differ from gpt-5-mini"
7b708f71-5d9c-421a-a4b2-00c7797764b7,anvil,gemini-3.1-pro-preview,bm25,1,completed,54722,4734,5,6,61,8,140.437,b4702f0df1926850d6252174ebf22394763b3add5842824b6f1bdd5c05253cde,"conflicts: /slurm/partitions/debug/maximum_walltime_seconds, /slurm/partitions/gpu-debug/maximum_walltime_seconds, /slurm/partitions/wholenode/maximum_walltime_seconds, /slurm/partitions/wide/maximum_walltime_seconds (+4 more); abstentions: additional_documentation, additional_documentation, additional_documentation, additional_documentation (+57 more); model divergence: 7 profile value(s) differ from gpt-5-mini"
9132adb8-3900-48ee-abb4-6e0535e54e74,anvil,gpt-5-mini,expanded,1,failed,,4734,5,6,91,0,259.656,b4702f0df1926850d6252174ebf22394763b3add5842824b6f1bdd5c05253cde,failure: OpenAI request failed before a response was received.
b4d30e1f-f973-4b74-94b6-fbe6a9bd79b0,anvil,gpt-5.6-terra,expanded,1,completed,29303,4734,5,2,68,8,35.079,b4702f0df1926850d6252174ebf22394763b3add5842824b6f1bdd5c05253cde,"conflicts: /slurm/partitions/debug/maximum_walltime_seconds, /slurm/partitions/gpu-debug/maximum_walltime_seconds, /slurm/partitions/wholenode/maximum_walltime_seconds, /slurm/partitions/wide/maximum_walltime_seconds (+4 more); abstentions: additional_documentation, additional_documentation, additional_documentation, additional_documentation (+64 more); model divergence: 5 profile value(s) differ from gpt-5-mini"
b39cb110-7fef-4955-bd45-eb553c73ebdd,anvil,gemini-3.6-flash,expanded,1,completed,32290,4734,4,0,58,8,65.820,b4702f0df1926850d6252174ebf22394763b3add5842824b6f1bdd5c05253cde,"conflicts: /slurm/partitions/debug/maximum_walltime_seconds, /slurm/partitions/gpu-debug/maximum_walltime_seconds, /slurm/partitions/wholenode/maximum_walltime_seconds, /slurm/partitions/wide/maximum_walltime_seconds (+4 more); abstentions: additional_documentation, additional_documentation, additional_documentation, additional_documentation (+54 more); model divergence: 2 profile value(s) differ from gpt-5-mini"
6b8d6758-aa6b-4444-b519-03199c957553,anvil,gemini-3.1-pro-preview,expanded,1,failed,,4734,5,3,91,0,145.108,b4702f0df1926850d6252174ebf22394763b3add5842824b6f1bdd5c05253cde,failure: Gemini request failed before a response was received.
b0ff6782-e6e3-4b19-93f1-0c6b34482b96,anvil,gpt-5-mini,expanded,2,failed,,4734,5,8,76,6,190.683,b4702f0df1926850d6252174ebf22394763b3add5842824b6f1bdd5c05253cde,failure: OpenAI request failed before a response was received.
a559715c-2848-49c7-a22d-e7a97b6f2c27,anvil,gpt-5.6-terra,expanded,2,completed,33946,4734,6,6,63,8,40.249,b4702f0df1926850d6252174ebf22394763b3add5842824b6f1bdd5c05253cde,"conflicts: /slurm/partitions/debug/maximum_walltime_seconds, /slurm/partitions/gpu-debug/maximum_walltime_seconds, /slurm/partitions/wholenode/maximum_walltime_seconds, /slurm/partitions/wide/maximum_walltime_seconds (+4 more); abstentions: additional_documentation, additional_documentation, additional_documentation, additional_documentation (+59 more); model divergence: 5 profile value(s) differ from gpt-5-mini"
